A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
1.6826075315475464,6.559709548950195,25.097017288208008,12.948943138122559,11.028779029846191,12.650593757629395,9.262977600097656,9.056917190551758,4.805444717407227,1.8346507549285889,0.6326487064361572,0.0,14.513090133666992,5.124729156494141,1.6136479377746582,1.6461684703826904,1.7019075155258179,1.1263893842697144
1.6826075315475464,6.559709548950195,26.062288284301758,13.87386703491211,11.764030456542969,13.353404998779297,9.262977600097656,9.056917190551758,5.285988807678223,1.8346507549285889,0.6326487064361572,0.0,15.629481315612793,5.124729156494141,1.6136479377746582,1.6461684703826904,1.7019075155258179,1.1263893842697144
1.6826075315475464,6.559709548950195,27.992828369140625,14.798791885375977,12.499282836914062,14.056215286254883,9.841914176940918,10.189031600952148,5.766533374786377,1.8346507549285889,0.6326487064361572,0.0,15.629481315612793,6.149675369262695,1.6136479377746582,1.6461684703826904,1.7019075155258179,1.1263893842697144
1.6826075315475464,7.4968109130859375,27.027557373046875,15.723716735839844,13.23453426361084,15.461836814880371,10.420849800109863,10.755088806152344,6.247077941894531,1.8346507549285889,0.6326487064361572,0.0,16.745872497558594,6.149675369262695,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
2.523911237716675,7.4968109130859375,31.853906631469727,16.64864158630371,13.23453426361084,16.164648056030273,10.999786376953125,11.321146965026855,6.247077941894531,2.293313503265381,0.6326487064361572,0.9892574548721313,16.745872497558594,6.149675369262695,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
2.523911237716675,8.43391227722168,32.819175720214844,16.64864158630371,13.969786643981934,16.164648056030273,10.999786376953125,11.321146965026855,6.7276225090026855,2.293313503265381,0.6326487064361572,0.0,17.86226463317871,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
2.523911237716675,8.43391227722168,33.784446716308594,17.573564529418945,13.969786643981934,16.86745834350586,10.999786376953125,11.88720417022705,6.7276225090026855,2.293313503265381,0.6326487064361572,0.0,18.978656768798828,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
2.523911237716675,8.43391227722168,34.749717712402344,18.498489379882812,14.705038070678711,16.86745834350586,11.57872200012207,12.453261375427246,6.7276225090026855,2.293313503265381,0.6326487064361572,0.0,20.095046997070312,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
2.523911237716675,9.371013641357422,32.819175720214844,19.42341423034668,15.440290451049805,18.273080825805664,12.157658576965332,12.453261375427246,7.208166599273682,2.293313503265381,0.6326487064361572,0.9892574548721313,18.978656768798828,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
3.3652150630950928,9.371013641357422,37.64552688598633,19.42341423034668,15.440290451049805,18.273080825805664,11.57872200012207,12.453261375427246,7.208166599273682,2.293313503265381,0.6326487064361572,0.0,20.095046997070312,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
3.3652150630950928,9.371013641357422,39.57606506347656,20.348339080810547,16.1755428314209,18.97589111328125,11.57872200012207,12.453261375427246,7.208166599273682,2.293313503265381,0.6326487064361572,0.0,20.095046997070312,7.174621105194092,2.4204719066619873,1.6461684703826904,1.7019075155258179,1.1263893842697144
